Iteration,Heuristic Value,Restarted,Inner Iteration,Time
945,12,27,7,5770.0000
946,13,27,8,5776.0000
947,14,27,9,5782.0000
948,15,27,10,5788.0000
949,16,27,11,5794.0000
950,17,27,12,5800.0000
951,18,27,13,5806.0000
952,19,27,14,5812.0000
953,20,27,15,5817.0000
954,21,27,16,5823.0000
955,22,27,17,5829.0000
956,23,27,18,5836.0000
957,24,27,19,5842.0000
958,25,27,20,5848.0000
959,26,27,21,5854.0000
960,28,27,22,5860.0000
961,29,27,23,5866.0000
962,30,27,24,5873.0000
963,31,27,25,5879.0000
964,32,27,26,5886.0000
965,33,27,27,5892.0000
966,34,27,28,5898.0000
967,35,27,29,5904.0000
968,36,27,30,5910.0000
969,37,27,31,5917.0000
970,38,27,32,5923.0000
971,39,27,33,5928.0000
972,40,27,34,5936.0000
973,40,27,35,5938.0000
974,3,28,1,5948.0000
975,5,28,2,5957.0000
976,7,28,3,5965.0000
977,9,28,4,5971.0000
978,11,28,5,5978.0000
979,13,28,6,5982.0000
980,15,28,7,5987.0000
981,16,28,8,5994.0000
982,17,28,9,5999.0000
983,18,28,10,6004.0000
984,19,28,11,6010.0000
985,20,28,12,6015.0000
986,21,28,13,6019.0000
987,22,28,14,6028.0000
988,23,28,15,6033.0000
989,24,28,16,6040.0000
990,25,28,17,6044.0000
991,26,28,18,6051.0000
992,27,28,19,6055.0000
993,28,28,20,6063.0000
994,29,28,21,6067.0000
995,30,28,22,6074.0000
996,31,28,23,6079.0000
997,32,28,24,6087.0000
